OrphaCode,Disease_Name
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome
93,Aspartylglucosaminuria
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome
585,Multiple sulfatase deficiency
118,Beta-mannosidosis
166063,Pontocerebellar hypoplasia type 4
166078,Von Willebrand disease type 1
166073,Pontocerebellar hypoplasia type 6
166084,Von Willebrand disease type 2A
333,Farber disease
349,Fucosidosis
166090,Von Willebrand disease type 2M
166087,Von Willebrand disease type 2B
366,Glycogen storage disease due to glycogen debranching enzyme deficiency
166093,Von Willebrand disease type 2N
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency
166096,Von Willebrand disease type 3
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia
371,Glycogen storage disease due to muscle phosphofructokinase deficiency
166105,FASTKD2-related infantile mitochondrial encephalomyopathy
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency
447,Paroxysmal nocturnal hemoglobinuria
166108,"Intellectual disability, Birk-Barel type"
166119,Isolated osteopoikilosis
166260,Dentinogenesis imperfecta type 2
166265,Dentinogenesis imperfecta type 3
166272,Odontochondrodysplasia
576,Mucolipidosis type II
812,Sialidosis type 1
166282,Familial sick sinus syndrome
578,Mucolipidosis type IV
166286,Porokeratotic eccrine ostial and dermal duct nevus
461,Recessive X-linked ichthyosis
584,Mucopolysaccharidosis type 7
166412,Hot water reflex epilepsy
95,Friedreich ataxia
586,Cystic fibrosis
550,MELAS
269,Facioscapulohumeral dystrophy
480,Kearns-Sayre syndrome
551,MERRF
597,Central core disease
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease
684,Paramyotonia congenita of Von Eulenburg
163931,Acrodermatitis continua of Hallopeau
163927,Pustulosis palmaris et plantaris
163937,"X-linked intellectual disability, Najm type"
614,Thomsen and Becker disease
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type"
163976,"X-linked intellectual disability, Van Esch type"
163956,"X-linked intellectual disability, Nascimento type"
324,Fabry disease
163985,Hyperekplexia-epilepsy syndrome
778,Rett syndrome
307,Juvenile myoclonic epilepsy
1941,Juvenile absence epilepsy
892,Von Hippel-Lindau disease
731,Autosomal recessive polycystic kidney disease
164736,Familial advanced sleep-phase syndrome
138,CHARGE syndrome
165805,Familial mesial temporal lobe epilepsy with febrile seizures
803,Amyotrophic lateral sclerosis
100,Ataxia-telangiectasia
399,Huntington disease
501,Lafora disease
