Disorder Name,OrphaCode,Disorder ID,Gene Name,Gene Symbol,Ensembl Reference
Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,166024,17601,kinesin family member 7,KIF7,ENSG00000166813
Aspartylglucosaminuria,93,5,aspartylglucosaminidase,AGA,ENSG00000038002
Brachydactyly-short stature-retinitis pigmentosa syndrome,166035,17604,CWC27 spliceosome associated cyclophilin,CWC27,ENSG00000153015
Multiple sulfatase deficiency,585,6,sulfatase modifying factor 1,SUMF1,ENSG00000144455
Beta-mannosidosis,118,7,mannosidase beta,MANBA,ENSG00000109323
Pontocerebellar hypoplasia type 4,166063,17608,tRNA splicing endonuclease subunit 54,TSEN54,ENSG00000182173
Von Willebrand disease type 1,166078,17611,von Willebrand factor,VWF,ENSG00000110799
Pontocerebellar hypoplasia type 6,166073,17610,"arginyl-tRNA synthetase 2, mitochondrial",RARS2,ENSG00000146282
Von Willebrand disease type 2A,166084,17613,von Willebrand factor,VWF,ENSG00000110799
Farber disease,333,12,N-acylsphingosine amidohydrolase 1,ASAH1,ENSG00000104763
Fucosidosis,349,13,alpha-L-fucosidase 1,FUCA1,ENSG00000179163
Von Willebrand disease type 2M,166090,17615,von Willebrand factor,VWF,ENSG00000110799
Von Willebrand disease type 2B,166087,17614,von Willebrand factor,VWF,ENSG00000110799
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,15,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",AGL,ENSG00000162688
Von Willebrand disease type 2N,166093,17616,von Willebrand factor,VWF,ENSG00000110799
Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368,17,"glycogen phosphorylase, muscle associated",PYGM,ENSG00000068976
Von Willebrand disease type 3,166096,17617,von Willebrand factor,VWF,ENSG00000110799
Autosomal dominant otospondylomegaepiphyseal dysplasia,166100,17618,collagen type II alpha 1 chain,COL2A1,ENSG00000139219
Autosomal dominant otospondylomegaepiphyseal dysplasia,166100,17618,collagen type XI alpha 2 chain,COL11A2,ENSG00000204248
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,19,"phosphofructokinase, muscle",PFKM,ENSG00000152556
